iter	Passed	Remaining
127	6425	43772
128	6474	43713
129	6519	43633
130	6562	43530
131	6609	43463
132	6661	43423
133	6685	43207
134	6771	43389
135	6828	43381
136	6879	43336
137	6928	43278
138	6987	43279
139	7016	43100
140	7075	43107
141	7141	43153
142	7202	43163
143	7262	43171
144	7310	43107
145	7357	43036
146	7402	42955
147	7449	42884
148	7499	42830
149	7540	42731
150	7591	42683
151	7610	42455
152	7625	42212
153	7668	42128
154	7715	42060
155	7762	41996
156	7809	41930
157	7860	41887
158	7905	41815
159	7949	41737
160	7982	41599
161	8047	41630
162	8106	41628
163	8151	41550
164	8178	41387
165	8217	41287
166	8263	41220
167	8304	41128
168	8356	41090
169	8400	41015
170	8459	41009
171	8501	40923
172	8572	40980
173	8613	40890
174	8663	40844
175	8712	40788
176	8755	40709
177	8797	40624
178	8852	40601
179	8893	40514
180	8944	40473
181	9003	40466
182	9074	40514
183	9135	40512
184	9192	40495
185	9252	40490
186	9304	40452
187	9361	40435
188	9396	40320
189	9451	40294
190	9505	40263
191	9550	40193
192	9598	40135
193	9649	40089
194	9719	40122
195	9772	40086
196	9833	40081
197	9881	40024
198	9957	40081
199	10012	40049
200	10068	40023
201	10112	39947
202	10181	39972
203	10224	39896
204	10297	39935
205	10359	39928
206	10402	39850
207	10484	39920
208	10530	39854
209	10593	39852
210	10635	39768
211	10687	39725
212	10739	39680
213	10784	39609
214	10834	39558
215	10890	39527
216	10943	39485
217	10989	39419
218	11034	39351
219	11074	39265
220	11128	39227
221	11168	39141
222	11220	39096
223	11267	39035
224	11316	38978
225	11355	38888
226	11406	38842
227	11456	38789
228	11514	38768
229	11580	38769
230	11624	38697
231	11674	38647
232	11727	38604
233	11769	38526
234	11814	38461
235	11865	38413
236	11910	38343
237	11961	38295
238	12008	38237
239	12053	38168
240	12099	38104
241	12147	38048
242	12193	37985
243	12241	37929
244	12283	37852
245	12339	37822
246	12387	37763
247	12435	37707
248	12478	37634
249	12519	37557
250	12560	37481
251	12600	37402
252	12666	37399
253	12726	37376
254	12777	37329
255	12825	37273
256	12870	37209
257	12921	37161
258	12968	37103
259	13011	37032
260	13063	36988
261	13109	36926
262	13152	36858
263	13218	36851
264	13262	36785
265	13305	36716
266	13383	36742
267	13448	36732
268	13489	36656
269	13548	36630
270	13594	36568
271	13640	36509
272	13686	36448
273	13735	36394
274	13781	36332
275	13829	36276
276	13869	36201
277	13912	36131
278	13950	36050
279	14005	36015
280	14052	35955
281	14098	35896
282	14142	35831
283	14195	35789
284	14252	35756
285	14316	35740
286	14364	35686
287	14416	35641
288	14473	35608
289	14526	35565
290	14574	35508
291	14635	35486
292	14679	35422
293	14727	35366
294	14771	35300
295	14820	35249
296	14865	35186
297	14905	35112
298	14958	35069
299	15009	35022
300	15052	34955
301	15103	34908
302	15158	34868
303	15213	34831
304	15271	34799
305	15324	34756
306	15380	34719
307	15431	34669
308	15472	34599
309	15548	34607
310	15589	34538
311	15633	34474
312	15681	34419
313	15730	34366
314	15778	34312
315	15824	34254
316	15870	34193
317	15915	34133
318	15962	34077
319	16013	34028
320	16076	34005
321	16117	33937
322	16169	33890
323	16225	33853
324	16289	33832
325	16330	33762
326	16402	33758
327	16453	33709
328	16525	33703
329	16567	33636
330	16655	33663
331	16712	33626
332	16760	33571
333	16810	33520
334	16853	33455
335	16904	33406
336	16948	33344
337	17000	33296
338	17046	33237
339	17091	33177
340	17136	33117
341	17183	33060
342	17229	33002
343	17277	32948
344	17317	32877
345	17357	32808
346	17396	32736
347	17466	32725
348	17519	32680
349	17576	32641
350	17632	32601
351	17674	32537
352	17719	32477
353	17773	32433
354	17819	32376
355	17881	32347
356	17933	32301
357	17988	32259
358	18032	32197
359	18072	32128
360	18145	32119
361	18197	32072
362	18240	32008
363	18302	31978
364	18362	31946
365	18416	31902
366	18459	31838
367	18510	31789
368	18551	31723
369	18601	31673
370	18647	31615
371	18718	31600
372	18765	31544
373	18806	31477
374	18863	31439
375	18904	31372
376	18968	31345
377	19011	31282
378	19051	31216
379	19104	31170
380	19152	31117
381	19194	31053
382	19248	31009
383	19297	30955
384	19361	30927
385	19414	30882
386	19468	30837
387	19509	30772
388	19562	30727
389	19621	30690
390	19668	30634
391	19716	30580
392	19767	30532
393	19815	30477
394	19859	30417
395	19906	30362
396	19956	30311
397	19997	30247
398	20046	30195
399	20113	30169
400	20170	30130
